dataset,path,scaler_type,train_x_mean_abs_max,train_y_mean_abs_max,train_x_active_std_error_max,train_y_active_std_error_max,x_constant_channels,y_constant_channels,min_x_scaler_std,min_y_scaler_std,sha256
D6,/kaggle/working/data/dataset_D6.npz,train_only_channelwise_standardization,1.2395091119937465e-08,3.731746254821441e-09,7.189920125938443e-08,4.304033995872203e-08,1,0,9.999999974752427e-07,0.0444224588572979,b9f00f0731d30bc51aa00cd42c772220c38f22c3565edc545ea2e959f691d4da
D8var,/kaggle/working/data/dataset_D8var.npz,train_only_channelwise_standardization,1.2183695521525806e-08,5.606810600979121e-09,7.189920125938443e-08,1.629606194430977e-08,0,0,0.04684186726808548,0.0922989547252655,40ae6a1ef80562d7849bb080e76673bbeb156d879d9f4c406ed68df74ea97180
D8irregular,/kaggle/working/data/dataset_D8irregular.npz,train_only_channelwise_standardization,2.5272928705873005e-08,3.1703090519710842e-09,7.189921613637296e-08,1.972667207361667e-08,0,0,0.032550737261772156,0.21814434230327606,03674a5f9adf66bd7726081cefbf71b4827e6392f36f89c8558163b85f81f69c
