dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility,eqelm_hidden,eqelm_ridge
D6,CNN,0,0.01,110,13,62.52791380882263,730041,2.7848854064941406,0.001059443321763,0.0006195631591796,0.9994640520717204,0.0908351000398397,0.0004094260633185,0.0081025653829177,0.000944381870795,0.0003334963694214,0.0829456670992616,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,1,0.01,110,13,62.81701707839966,730041,2.7848854064941406,0.0010247850743253,0.0006970677327473,0.9994985441249428,0.0834033253292242,0.0003617425657769,0.0079192256089299,0.0010682305097968,0.0004788727480142,0.0838527347946512,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,2,0.01,110,35,111.29964542388916,730041,2.7848854064941406,0.0006399423683935,0.0004605464233398,0.9998044540301994,0.0695714397976795,0.0003243688891719,0.0056367208017036,0.0005260433341997,0.0002850491679661,0.0840716765842576,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,3,0.01,110,14,64.81942248344421,730041,2.7848854064941406,0.0009306253441852,0.0006547729532877,0.999586460600794,0.0878780006120602,0.0003904826662619,0.0078143163506562,0.0009408203865556,0.0003131250462805,0.083592949786048,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,4,0.01,110,41,124.78297114372252,730041,2.7848854064941406,0.0007230508280405,0.0005184764200846,0.9997503653901524,0.066844287328422,0.0003841513437995,0.0061397885050003,0.0006698608631268,0.0007072153918367,0.0841394944143468,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,5,0.01,110,6,46.93781065940857,730041,2.7848854064941406,0.0012298732483174,0.0007962404581705,0.9992777495001516,0.1210329954822858,0.0005882849945919,0.010907064191997,0.0011842682627805,0.0004790776220033,0.0834474475055501,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,6,0.01,110,22,82.55783700942993,730041,2.7848854064941406,0.0009934749170556,0.0007251796061197,0.999528717889776,0.0813442791501681,0.0004630265733188,0.0080341607099398,0.0009797819172187,0.0008292743441415,0.084423777255891,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,7,0.01,110,13,62.51805067062378,730041,2.7848854064941406,0.0008531329241933,0.0006452287841796,0.999652463401416,0.0965295483668645,0.0004176286432387,0.0078033408693348,0.0007663232245249,0.0008274210607244,0.0845982652643452,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,8,0.01,110,9,53.60939264297485,730041,2.7848854064941406,0.0009330156608785,0.0006300579386393,0.9995843335158036,0.1103630736470222,0.0005785048754963,0.0085992217063903,0.0008528531664827,0.0004257055916241,0.0844542679471382,202424000,,train_only_channelwise_standardization,True,,
D6,CNN,9,0.01,110,14,64.59140515327454,730041,2.7848854064941406,0.0010446015282258,0.0007006864054361,0.9994789631317956,0.0974894439180692,0.0003447713582621,0.0079436172187949,0.0012394994167455,0.0004421998843705,0.0837002138512721,202424000,,train_only_channelwise_standardization,True,,
