dataset,model,rmse,physics_error,is_pareto_efficient
D6,CNN,0.00094319452153781,0.09052914936716354,True
D6,eQELM,0.0016662860118504398,0.07956840569774307,True
D8irregular,CNN,0.026988459710380518,0.5340095433923933,True
D8var,CNN,0.0018927737500535,0.17799323666840788,True
D8var,eQELM,0.00472392672927332,0.16546748131513592,True
