epoch,train_loss,val_rmse,val_mae,val_r2,val_physics_error
1,0.06274226568639278,0.008515370223874117,0.00478091357421875,0.9616514405557055,1.0093380113442738
2,0.0117394713007591,0.003198724806540904,0.0018901054036458333,0.9945887731361569,0.5267736166715622
3,0.012267095993526957,0.009182750292464481,0.00564136298828125,0.9554048597035968,0.5913799901803335
4,0.012641609468582001,0.006991269361856905,0.0038746137044270833,0.9741503864140229,0.4281113122900327
5,0.01008969632570039,0.001602160165810393,0.001062168839518229,0.9986424562183852,0.3526168540120125
6,0.010317214832387187,0.009221636173159495,0.005054723307291667,0.9550263689547287,0.4466180354356766
7,0.011422597096216949,0.0012916045307267798,0.000892889599609375,0.9991177308274037,0.31673278162876767
8,0.008868676830421795,0.003755984485993661,0.002708454443359375,0.992539128420547,0.3178429330388705
9,0.010767885390669108,0.002407913650147313,0.0014797750895182292,0.9969336353286541,0.27701999247074127
10,0.007903106933967634,0.004337420638913041,0.0020911871907552085,0.9900504126639658,0.2898219923178355
11,0.009271869863468138,0.0017582251306058046,0.0012398683268229167,0.998365100911699,0.2726829970876376
12,0.00934985255907205,0.0022793112960572785,0.001463622802734375,0.9972524268043798,0.26200225452582043
13,0.010147320369089191,0.0017758142886967244,0.0011888658284505207,0.998332226466899,0.2642533207933108
14,0.006832935885441574,0.0012960750211343974,0.00095403203125,0.999111612853128,0.25030265500148136
15,0.010173726818439635,0.003058014295050185,0.0018782128580729167,0.9950543769968773,0.2818509464462598
16,0.00806543706831607,0.001396996862456672,0.0009070791015625,0.9989678736950822,0.25084076697627705
17,0.0108036660250615,0.0022096245523581678,0.0017086223470052083,0.9974178649127043,0.2561848970750968
18,0.009467474938454953,0.0037787808513990847,0.0020006489583333335,0.9924482883785886,0.2604324221611023
19,0.010299400244416161,0.0009081789337545973,0.0006393955525716146,0.9995638008321908,0.23662049820025763
20,0.008637307127091017,0.0017294215814906658,0.00141008251953125,0.9984182285456519,0.22518383339047432
21,0.008195815815336325,0.0010026381621439098,0.0006629557535807292,0.9994683443342649,0.2149499903122584
22,0.008272448800165545,0.0023214199655673747,0.0017489572916666667,0.9971499701027493,0.24036279444893202
23,0.008024777433919635,0.0013769055600439369,0.0008487388102213541,0.9989973478427979,0.24447400867938995
24,0.008616871877827427,0.0020095242181390987,0.0010979115641276042,0.9978643578962009,0.2347574308514595
25,0.00760859864636917,0.0010625361866492106,0.0008394912963867187,0.9994029242338328,0.24148722365498543
26,0.007128608961250972,0.0016679563761601303,0.001229436433919271,0.9985286656946999,0.2263160695632299
27,0.006576866772957146,0.001402825074400461,0.0009219382853190105,0.9989592437559273,0.2184513323009014
28,0.008957860091785815,0.001653570764795139,0.0013147936360677084,0.9985539358618262,0.21772169321775436
29,0.006579371114176782,0.0016680204313492077,0.0010300780192057293,0.9985285526840623,0.2228230523566405
30,0.008412620971317996,0.0027425939999481206,0.0017229231608072916,0.9960219977141416,0.20926026503245035
31,0.0065382007826966316,0.0009422029830309938,0.0007126087117513021,0.9995305050394505,0.23819457118709883
32,0.008388627301478251,0.000873094969014317,0.0006165432942708333,0.9995968515850178,0.22716077168782553
33,0.008551992645317858,0.0015129478905363373,0.0010961510335286459,0.9987894299486774,0.20417395482460657
34,0.0075785721313547,0.0009214949627319635,0.0006603990844726563,0.9995509156545902,0.18998334184288979
35,0.007197360021316193,0.0010388786784320252,0.000732378515625,0.9994292161830584,0.19969684382279715
36,0.0066773995630104435,0.000994611183823864,0.0008083062662760416,0.9994768229775287,0.19997788344820341
37,0.007221764550459656,0.0010873281123805654,0.0007421190592447916,0.9993747362966325,0.19791929920514426
38,0.00842535364314575,0.0012236800679638843,0.0010025036946614584,0.9992080864804168,0.21485607574383417
39,0.007295407075434923,0.0015694979451305706,0.0009541221761067708,0.9986972427819228,0.2039338710407416
40,0.00697007995437492,0.0010181813741851743,0.0006471066040039063,0.9994517327792545,0.20624610657493272
41,0.005400723409415646,0.0015075058435819193,0.0008715854939778646,0.9987981230843493,0.19783656299114227
42,0.006318816252645444,0.0017009071912091184,0.0009067991902669271,0.9984699584673334,0.19786348069707552
43,0.00854471904352646,0.0011368803628211668,0.0008527598551432291,0.9993164480677215,0.19345603386561075
44,0.009365046468817376,0.0015932393770700258,0.0012739776692708333,0.9986575316726888,0.21210100625952086
45,0.008639639148234644,0.0009771422534467112,0.0005936650594075521,0.9994950393083915,0.1945947458346685
46,0.006695134548301046,0.001713232573330735,0.0010877207194010417,0.9984477036684668,0.19659295802315077
47,0.008297351252456958,0.001025679824978596,0.0008546328735351562,0.9994436275569634,0.20431969314813614
