epoch,train_loss,val_rmse,val_mae,val_r2,val_physics_error
1,2.0216712014241653,0.037755551769946695,0.02199356328125,0.24611755858244444,0.8046241650978724
2,0.23947221555493095,0.004331984608395967,0.0031544463216145835,0.9900753364018746,0.1513311229646206
3,0.20941768965937874,0.0031542152820974436,0.0022834936197916665,0.994738317379312,0.11901837525268395
4,0.1800209481607784,0.0027366265260615518,0.0019911020182291667,0.9960392899556586,0.14179267982641855
5,0.17200806926597248,0.0038528549739111468,0.002703547900390625,0.9921493193923696,0.10086862370371819
6,0.15990607210180977,0.002282474346037612,0.00155419169921875,0.9972447957787255,0.0966971293091774
7,0.16752062033523213,0.0022798090176597615,0.0016945123860677084,0.9972512267262279,0.07350715932746728
8,0.16027492745356126,0.004225897762464647,0.0027497229166666666,0.9905554785549107,0.1213218979537487
9,0.14173866225914522,0.0029929071289771575,0.002058699869791667,0.9952627264144346,0.09006271821757157
10,0.15892216739329426,0.0062354978233873795,0.003996776399739583,0.9794371054133922,0.1396456224222978
11,0.15357130793007936,0.0018014546335864009,0.0011182650716145834,0.9982837180124665,0.06865944775442283
12,0.14484085874124006,0.0026156419128333004,0.0017527777994791667,0.9963817500820954,0.06696723898251851
13,0.12635468691587448,0.002088685304898068,0.00140289892578125,0.997692785312568,0.06648286059498787
14,0.1257179256189953,0.005648039251967388,0.0035362475748697917,0.983129133154283,0.09923734329640865
15,0.130192307992415,0.002788067512161826,0.0020255522786458333,0.9958889897752362,0.07269918856521447
16,0.13093423477628013,0.001695705343691858,0.0012033616943359375,0.9984793027423242,0.07365036817888419
17,0.1282857059077783,0.0019741033683645963,0.0013740002115885416,0.9979389820969072,0.07015050326784451
18,0.14196530878543853,0.002664298927652278,0.0018139090494791667,0.9962458822948506,0.09398099159200986
19,0.13015045713294637,0.003082626598570742,0.0018992925455729166,0.9949744473401355,0.0678992581864198
20,0.13138071583075958,0.00529362614114068,0.0028070407389322915,0.98517998927937,0.11846290839215119
21,0.11795051179148934,0.0017873143346436725,0.001178931005859375,0.9983105557608736,0.04427473029742638
22,0.11722959144548936,0.0019880169865850246,0.0012842481201171875,0.9979098273194055,0.07450491686662038
23,0.12388852333480661,0.0017705358217930643,0.0012647675048828124,0.9983421263803268,0.07982284327348073
24,0.11859245246106928,0.002580348797022695,0.0020825869954427083,0.9964787341402037,0.08236432323853175
25,0.12530282085592095,0.0033453109187681148,0.0020839009765625,0.9940814549005011,0.0867929607629776
26,0.12551857829093932,0.0017465259128136743,0.0013053817220052084,0.9983867857398512,0.07605804565052192
27,0.12407285381447185,0.002028451762549134,0.001547002294921875,0.9978239375535899,0.062285964066783585
28,0.11095665070143614,0.002428225448016652,0.0018247755533854168,0.9968816849000515,0.06885868807633717
29,0.11680808080868288,0.0015263937620980511,0.0010018945963541667,0.9987678171769955,0.06314941557745139
30,0.1304948304187168,0.0016438055543975798,0.0011403645914713541,0.9985709649778611,0.055233060692747436
31,0.11530765796249563,0.0014132938888431717,0.0009563898152669271,0.9989436521631111,0.05729521966228882
32,0.11160739253867756,0.00302423862091713,0.0019488354654947917,0.9951630221825446,0.06901594375570615
33,0.10862194286151365,0.0017586767171717643,0.0012048007405598958,0.9983642609814021,0.05368431999037663
34,0.10443282398310574,0.0013892763091268765,0.0009496229166666666,0.9989792503374426,0.04221235681325197
35,0.10249863117933274,0.0023743480255959118,0.0014941675862630208,0.9970185279714529,0.06906309040884177
36,0.102353551577438,0.0024308521811515593,0.0018620485188802084,0.9968749347756737,0.057538871032496296
37,0.09890759031880986,0.002832401859281293,0.001832533984375,0.9957572081412893,0.037329784904917084
38,0.10153796225786209,0.0016127259069103794,0.001228656982421875,0.9986244920326306,0.046183196206887565
39,0.10108080777254971,0.0018487342920811736,0.0013470011800130208,0.9981924472540499,0.0582146734620134
40,0.10457041222940791,0.0017576312207596004,0.0012496167561848958,0.9983662052283823,0.03945469856262207
41,0.09991778311404315,0.0017427345637209372,0.0012333622314453126,0.9983937820515649,0.05219606931010882
42,0.10106017359278419,0.002866155914523676,0.0017427100911458332,0.995655481923474,0.03788884108265241
43,0.09801568592136556,0.0023917386056357404,0.0014880858154296874,0.9969746932768792,0.08169637310008208
44,0.09483614753593098,0.0018192807571252593,0.001507065771484375,0.9982495833443857,0.040726318334539734
45,0.0996771891008724,0.0012273510222661683,0.0009781780558268229,0.9992033279835948,0.0331865663950642
46,0.0997371874072335,0.001345454927910306,0.0010482533284505208,0.9990426289457619,0.0441866439456741
47,0.1010749101638794,0.0012681303462302323,0.0008433683268229167,0.9991495088950139,0.0365657831231753
48,0.09215065728534352,0.002586933250831299,0.00145924345703125,0.996460740297983,0.05393086466938257
49,0.09976588352160021,0.0011938163652330345,0.0007736971801757813,0.999246267848104,0.030858431321879227
50,0.08932343436913057,0.0017212715933227203,0.001282882267252604,0.9984331017761449,0.06003505208839973
51,0.09477207186547193,0.0020108868090394144,0.0014335482340494792,0.9978614606998799,0.04871741123497486
52,0.08995270431041717,0.0015457507842336104,0.0009860747233072916,0.9987363670663566,0.03932572063058615
53,0.09103737771511078,0.0012065391912006239,0.0007357779296875,0.9992301167837021,0.026755384635180235
54,0.09257801527326757,0.0012304458309239108,0.0009301293863932292,0.9991993052453706,0.03678822579483191
55,0.09170106473294172,0.0019607288548489678,0.0012153215169270833,0.997966814211154,0.026834022564192612
56,0.0878274982625788,0.0011792272246663523,0.0007656962565104167,0.9992645773871045,0.032671985837320484
57,0.08358446921814572,0.0020933569695824957,0.001560197908528646,0.997682452892198,0.042412973629931607
58,0.08510144711895422,0.0020168423783649284,0.0013777233317057293,0.9978487746757884,0.04483472586919864
