epoch,train_loss,val_rmse,val_mae,val_r2,val_physics_error
1,0.06202657387845895,0.005582639956715089,0.0034226583984375,0.9835175705877176,0.8262961159149805
2,0.012797672932290219,0.0030349138068958845,0.0025892939290364583,0.995128814054187,0.5297787835200628
3,0.015826413755051113,0.0023226420104728745,0.0018308153971354167,0.9971469686800898,0.46549587945143384
4,0.011608072018928148,0.0016444005000554832,0.001209345947265625,0.9985699303639605,0.36842884371678036
5,0.009286771570755676,0.0017590456151160378,0.001110959033203125,0.9983635746880749,0.3184906169772148
6,0.010001394203440709,0.001711382176691301,0.0010676571207682293,0.9984510550088453,0.306713730096817
7,0.010477495883506808,0.002380857358852886,0.0016500376139322918,0.9970021580056813,0.3077220718065898
8,0.009663756699724631,0.001127683772682875,0.0008802429036458333,0.9993274622799905,0.2725861395398776
9,0.00879208426075903,0.003421977699166988,0.00271797890625,0.9938070676613563,0.2503936005135377
10,0.00867499133402651,0.0036751508755323817,0.002152390950520833,0.9928568078796681,0.2646598120530446
11,0.00959109001877633,0.002750778088165607,0.001317961027018229,0.9959982210291612,0.22782248010238013
12,0.010172683711756359,0.002119635951315991,0.00122338193359375,0.9976239009577891,0.24988613774379095
13,0.007401011160320856,0.001179188506167912,0.0007331981770833334,0.9992646256797342,0.21018116176128387
14,0.006904772438362918,0.0027365843938555977,0.0019178013997395832,0.9960394119103098,0.25830184171597165
15,0.006603719226338647,0.0020617253630949937,0.0014010586669921876,0.9977519621847072,0.22536205252011618
16,0.008239215663210913,0.003545199731563521,0.001746556730143229,0.9933530348660131,0.22810721397399902
17,0.008413640879602596,0.00417619262229631,0.0020559489095052083,0.9907763454557024,0.2155649190147718
18,0.010482909854247489,0.004335573986498107,0.002770053564453125,0.9900588829138108,0.20610880851745605
19,0.009085415083576333,0.002735004554572721,0.0015311686279296875,0.9960439835117127,0.1871519759297371
20,0.011242851384238086,0.0027963488661105432,0.001843690576171875,0.9958645317648912,0.23866823439796767
21,0.0072367611129514195,0.003519877807851605,0.0021779376139322917,0.9934476489118336,0.20894026135404906
22,0.008482453116977757,0.0007562892509552031,0.0005543564656575521,0.9996975052504273,0.19215024386843046
23,0.008285291435789656,0.0013877786545555156,0.0008552717000325521,0.998981449909111,0.1726521054903666
24,0.0070607683896510435,0.002249580831689416,0.0016663765625,0.997323635930205,0.2010700305302938
25,0.007490646170282906,0.0015014531514195826,0.0011172481852213543,0.9988077548707087,0.20355220014850298
26,0.008106987491588702,0.0016676774949179675,0.001160416845703125,0.9985291576658825,0.1857612282037735
27,0.009107803722674196,0.0026175501026603743,0.0016131822428385417,0.9963764689110743,0.20078167940179506
28,0.007400170887227763,0.0019363101874515893,0.00162235166015625,0.9980171409398342,0.17690877492229143
29,0.00887068923012438,0.0007314871259552926,0.0005625219401041667,0.9997170202495389,0.16948462277650833
30,0.007900098912333222,0.0011066342988412968,0.0008797171549479167,0.9993523352833186,0.17292970046401024
31,0.00892153657888147,0.002092023329196874,0.0014909370361328126,0.9976854048874142,0.22455212970574698
32,0.008207792782394046,0.0023138065805357487,0.0014791125162760418,0.9971686335018957,0.18830270692706108
33,0.008993214762515642,0.0034869425575361117,0.0017499083333333333,0.9935696950206321,0.1920470930635929
34,0.007289010599594224,0.0026341167777418927,0.0013390734212239584,0.9963304565509407,0.1952809033294519
35,0.007214586987075481,0.0012786821669668977,0.0008904217366536458,0.9991352965296139,0.2080816999077797
36,0.007486385892314667,0.0016337907796069005,0.0009899205403645834,0.9985883245348487,0.19416116798917452
37,0.007559234477494928,0.0016754552326951454,0.0009685422444661459,0.9985154062029863,0.17831886808077493
38,0.007188664177771319,0.0015156649292605289,0.0012802699055989583,0.9987850780219987,0.17289714142680168
39,0.007622417680580508,0.0010340642963761572,0.0007043481608072917,0.9994344941892098,0.17483966052532196
40,0.00842945347963409,0.0027259896887222483,0.001911241064453125,0.9960700194343468,0.1823673558731874
41,0.008697688916105438,0.0018751050199131598,0.0009559819254557291,0.9981405128641483,0.18461562072237334
42,0.00717049008870328,0.0014550682992624762,0.0011689517740885416,0.9988802817842929,0.16633260498444238
43,0.006744823477823626,0.004161686634712962,0.0024045654459635417,0.9908403108215738,0.18351105600595474
44,0.00617423971733925,0.003117476416944494,0.001768443855794271,0.994860174924095,0.18233582749962807
