dataset,model,seed,lambda_physics,epochs_requested,best_epoch,training_time_sec,params,model_size_mb,rmse,mae,r2,physics_error,boundary_flux_error,fft_error,mae_center,mae_boundary,latency_ms,flops,energy_per_inference_mj_proxy,normalization_protocol,strict_reproducibility
D6,CNN,0,0.0,75,14,66.24857521057129,730041,2.7848854064941406,0.0008871026775018,0.000604554892985,0.9996242362155312,0.2744634946187337,0.0003953616542275,0.0087529890394459,0.0008752792491577,0.0002696368343701,0.0829724325002103,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,0.0,75,21,81.59803915023804,730041,2.7848854064941406,0.00081612596583,0.0006140498779296,0.999681960155697,0.2613418251276016,0.0003215047448369,0.0081761818534384,0.000754938814983,0.0005931700385796,0.0831772222359111,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,0.0,75,7,49.90366816520691,730041,2.7848854064941406,0.0009900338776889,0.0006883040527343,0.9995319769389444,0.511090358098348,0.0005221561320164,0.0112361186960091,0.0010893186263274,0.0003889981041235,0.0837108295788799,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,0.0,75,14,65.63880205154419,730041,2.7848854064941406,0.0010499517993611,0.0007492771484375,0.9994736121391464,0.2509323793152968,0.0004145821658312,0.0092714120013018,0.0008971719750358,0.0003587366712357,0.0835934694370497,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,0.0,75,75,169.2400426864624,730041,2.7848854064941406,0.000535198741813,0.0003649260192871,0.9998632279650408,0.1784871717294057,0.000167251558499,0.0052701757134248,0.0005799283244414,0.0001170421922627,0.082995459113432,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,1e-06,75,29,99.32739210128784,730041,2.7848854064941406,0.0008367839200154,0.0005673383870442,0.9996656558004984,0.2286869001885255,0.0005597736405131,0.0077678073818484,0.0007378815401655,0.0001862910491278,0.0833092743287915,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,1e-06,75,29,99.72273993492126,730041,2.7848854064941406,0.0007258741132541,0.0005641938761393,0.9997484120954016,0.2001685226957003,0.0002832906854261,0.0068022091484939,0.0006589891515128,0.0006712275499012,0.083520569825086,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,1e-06,75,3,40.67679142951965,730041,2.7848854064941406,0.0014531643933934,0.0009725469726562,0.9989916840507024,0.9356270482142768,0.0008918641591056,0.0166921610943973,0.0014513433076596,0.0006492788234027,0.0833118860812291,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,1e-06,75,14,65.23963499069214,730041,2.7848854064941406,0.0010296817877789,0.0007617601277669,0.9994937404791936,0.2444538573424021,0.0003911964061747,0.0092500298439214,0.0008610976753213,0.0004091804706452,0.0840640842806602,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,1e-06,75,27,94.56269240379332,730041,2.7848854064941406,0.0007031137988293,0.0005197622294108,0.9997639421847194,0.207076425353686,0.0002504238170028,0.0065787687587241,0.000698541184344,0.000290431016765,0.0834175844447336,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,3e-06,75,68,168.77152705192566,730041,2.7848854064941406,0.0005002304469962,0.0003164333923339,0.999880516651559,0.1731503407160441,0.000178987794546,0.0051750317992021,0.0005023487222691,8.181400759591877e-05,0.0834786130682281,202424000,,train_only_channelwise_standardization,True
D6,CNN,1,3e-06,75,6,47.59699845314026,730041,2.7848854064941406,0.0010538612086514,0.0007139070271809,0.999469684917456,0.3343653827905655,0.0005346125253709,0.0109040315728634,0.0010267967979113,0.0002916299757392,0.0832098252747369,202424000,,train_only_channelwise_standardization,True
D6,CNN,2,3e-06,75,35,112.59440660476685,730041,2.7848854064941406,0.0006619543323515,0.0004958133300781,0.9997907703643448,0.2622210569679737,0.000285890380231,0.0069696567952632,0.0005744942706466,0.0003854595585532,0.0835507433267607,202424000,,train_only_channelwise_standardization,True
D6,CNN,3,3e-06,75,32,105.54119420051576,730041,2.7848854064941406,0.0009214239018977,0.0006470446533203,0.9995945978118024,0.2316600320239862,0.0003236301636206,0.0085199341410771,0.0008996121565966,0.0002837750168206,0.0836362495370533,202424000,,train_only_channelwise_standardization,True
D6,CNN,4,3e-06,75,27,94.77612376213074,730041,2.7848854064941406,0.000741029010572,0.0005449656860351,0.9997377970569272,0.2283206321299076,0.0003880011718138,0.0070557935396209,0.0007578920631203,0.0003462367749307,0.0840149671379206,202424000,,train_only_channelwise_standardization,True
D6,CNN,0,1e-05,75,63,168.32847571372986,730041,2.7848854064941406,0.0004934139683616,0.0003266853556315,0.9998837507870836,0.1741523084541162,0.0001790524802345,0.0052526997169479,0.0004857012778908,0.0001185751201167,0.0840053232251734,202424000,,train_only_channelwise_standardization,True
